email,_website,_store,confirmation,created_at,created_in,disable_auto_group_change,dob,firstname,gender,group_id,lastname,middlename,password_hash,prefix,reward_update_notification,reward_warning_notification,rp_token,rp_token_created_at,store_id,suffix,taxvat,website_id,password,_address_city,_address_company,_address_country_id,_address_fax,_address_firstname,_address_lastname,_address_middlename,_address_postcode,_address_prefix,_address_region,_address_street,_address_suffix,_address_telephone,_address_vat_id,_address_default_billing_,_address_default_shipping_
user_11@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_12@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_13@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_14@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_15@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_16@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_17@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_18@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_19@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
user_20@example.com,website_1,,,"30-08-2012 17:43",Default,0,12-10-1991,Firstname,,1,Lastname,,de258d78b1bda6e0742d6262669ceb87a8099b8e1ebe559b247163e732b562b7:1c,,1,1,,,0,,,1,123123q,Fayetteville,,US,,Anthony,Nealy,,123123,,Arkansas,"123 Freedom Blvd. #123",,022-333-4455,,1,1
